name,battingStyle,Batting Avg,Strike rate,bowlingStyle,Bowling Average,Economy,team
MuruganAshwin,Right hand Bat,5.4,71.05263157894737,Legbreak Googly,37.8,8.590909090909092,Punjab Kings
BabaIndrajith,Right hand Bat,7,70,Legbreak Googly,,,KKR
YashDhull,Right hand Bat,5.333333333333333,69.56521739130434,Right arm Offbreak,,,Capitals
JoshHazlewood,Left hand Bat,0,67.85714285714286,Right arm Fast medium,21.941176470588236,8.243093922651934,Super Kings
DeepakChahar,Right hand Bat,0,66.66666666666666,Right arm Medium,26.185185185185187,8.416666666666666,Super Kings
HarshitRana,Right hand Bat,1,66.66666666666666,Right arm Fast,33,9,KKR
JasonBehrendorff,Right hand Bat,0,66.66666666666666,Left arm Fast medium,27.642857142857142,9.214285714285714,Mumbai
JoeRoot,Right hand Bat,10,66.66666666666666,"Right arm Offbreak, Legbreak",0,7,Royals
NavdeepSaini,Right hand Bat,2,66.66666666666666,Right arm Fast,33,12.375,RCB
SherfaneRutherford,Left hand Bat,16.5,66,Right arm Fast medium,,,RCB
RaviBishnoi,Right hand Bat,5.25,65.625,Legbreak Googly,26.26829268292683,7.665480427046264,Punjab Kings
ChetanSakariya,Left hand Bat,3.3333333333333335,64.51612903225806,Left arm Medium fast,29.95,8.43661971830986,Royals
JaspritBumrah,Right hand Bat,4,64,Right arm Fast,22.02777777777778,7.32,Mumbai
AmitMishra,Right hand Bat,19,63.33333333333333,Legbreak,18.916666666666668,7.827586206896552,Capitals
AlzarriJoseph,Right hand Bat,12,63.1578947368421,Right arm Fast,34.92857142857143,9.055555555555555,Titans
AdamZampa,Right hand Bat,3.3333333333333335,62.5,Legbreak Googly,23.5,8.545454545454545,Royals
JhyeRichardson,Right hand Bat,7.5,62.5,Right arm Fast,39,10.636363636363637,Punjab Kings
KarnSharma,Left hand Bat,1.5,60,Legbreak Googly,22.3,10.372093023255815,RCB
MustafizurRahman,Left hand Bat,0,60,Left arm Fast medium,33,8.355963302752293,Royals
DanChristian,Right hand Bat,2.3333333333333335,58.333333333333336,Right arm Fast medium,38.75,9.299999999999999,RCB
VaibhavArora,Right hand Bat,4,53.333333333333336,Right arm Fast medium,38.75,9.16256157635468,Punjab Kings
AbhijeetTomar,Right hand Bat,4,50,Right arm Offbreak,,,KKR
GeorgeGarton,Left hand Bat,2,50,Left arm Fast,45,9,RCB
